description,energy_kwh,gpu,num_gpus,hours,task,model,gpu_watts,model_compute_factor,task_multiplier,batch_size
Planning to evaluation YOLOv8 on WikiText-103 with sixteen h100 GPUs for 157.7h.,343.8003,H100,16,157.7,evaluation,YOLOv8,700,0.8,0.2,
"Launch a pretraining job for BERT-base on 16 a10g GPUs, duration 137.1 hours.",351.3615,A10G,16,137.1,pretraining,BERT-base,150,1.5,1.0,
Run training of BERT-base using 1x rtx3080 for 85.7 hours.,31.3446,RTX 3080,1,85.7,training,BERT-base,320,1.5,0.9,
"ViT-Large, evaluation, 16x rtx a6000, 6.6h",15.4418,A6000,16,6.6,evaluation,ViT-Large,300,2.1,0.2,64.0
Run fine-tuning of GPT-2 using 8x 3080 for 13.6 hours.,42.3692,RTX 3080,8,13.6,fine-tuning,GPT-2,320,1.6,0.65,512.0
Planning to fine-tuning YOLOv8 with eight rtx a6000 GPUs for 137.1h with batch size 16.,198.6453,A6000,8,137.1,fine-tuning,YOLOv8,300,0.8,0.65,16.0
"GPT-2 Large, evaluation, 8x a6000, 1.2 hours",2.1172,A6000,8,1.2,evaluation,GPT-2 Large,300,3.0,0.2,
"need to inference RoBERTa, planning 4 rtx 3080s for 4.3h",2.8915,RTX 3080,4,4.3,inference,RoBERTa,320,1.5,0.3,16.0
Planning to inference Whisper-medium with 2 pascal GPUs for 157.7 hours.,47.1498,P100,2,157.7,inference,Whisper-medium,250,1.8,0.3,
"GPT-2 inference on Common Crawl — four a10gs, 34.3 hours.",13.0134,A10G,4,34.3,inference,GPT-2,150,1.6,0.3,256.0
Evaluation Whisper-medium on 1 rtx3080 GPU for 4.3h.,0.733,RTX 3080,1,4.3,evaluation,Whisper-medium,320,1.8,0.2,256.0
"Launch a training job for BERT-large on 16 p100 GPUs, duration 24 hrs.",118.4418,P100,16,24.0,training,BERT-large,250,2.0,0.9,
Run inference of EfficientNet-B4 using 8x rtx 3080 for 24 hrs.,19.8209,RTX 3080,8,24.0,inference,EfficientNet-B4,320,0.9,0.3,64.0
